NUM_POSTE,NOM_USUEL,ZONE,TnX_mai26,NTr_mai26,dT_mai26,dN_mai26,TnX_jun19,NTr_jun19,dT_jun19,dN_jun19,TnX_jul19,NTr_jul19,dT_jul19,dN_jul19,TnX_jul22,NTr_jul22,dT_jul22,dN_jul22,TnX_aou23,NTr_aou23,dT_aou23,dN_aou23,TnX_aou03,NTr_aou03,dT_aou03,dN_aou03
33063001,BORDEAUX-PAULIN,Aquitaine,20.5,2.0,3.2,2.0,20.4,2.0,1.0,2.0,26.5,3.0,3.5,0.0,22.9,8.0,1.05,6.0,24.4,8.0,1.4,3.0,24.5,11.0,1.5,4.5
59350005,LILLE ISA,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,23.4,5.0,3.5,5.0
75117001,BATIGNOLLES,Ile-de-France,,,,,,,,,,,,,,,,,,,,,26.5,12.0,4.5,8.0
75120006,BELLEVILLE PARC,Ile-de-France,,,,,,,,,,,,,,,,,,,,,26.9,11.0,4.9,7.0
75110001,LARIBOISIERE,Ile-de-France,24.6,7.0,7.8,7.0,,,,,28.3,4.0,6.75,2.0,27.2,8.0,8.1,8.0,23.6,4.0,2.7,3.0,,,,
75106001,LUXEMBOURG,Ile-de-France,21.8,3.0,5.0,3.0,20.7,4.0,0.6,3.0,24.4,3.0,2.85,1.0,20.9,3.0,1.8,3.0,21.3,3.0,0.4,2.0,23.2,11.0,1.2,7.0
75104001,TOUR ST-JACQUES,Ile-de-France,,,,,,,,,,,,,,,,,,,,,25.5,12.0,3.5,8.0
13055001,MARSEILLE-OBS,Provence cotiere,21.2,3.0,3.6,3.0,26.8,6.0,4.3,3.0,24.8,7.0,3.9,5.0,25.9,14.0,3.1,8.0,27.1,11.0,4.85,7.0,,,,
69123002,LYON TETE D'OR,Rhone-Alpes vallee,20.7,2.0,4.4,2.0,25.4,5.0,4.15,3.0,25.6,6.0,4.9,4.0,23.5,7.0,2.25,5.0,24.5,8.0,3.1,5.0,,,,
69266001,VILLEURBANNE,Rhone-Alpes vallee,,,,,,,,,,,,,,,,,,,,,25.1,14.0,4.1,12.0
84037002,CHATEAUNEUF DU PAPE,,,,,,,,,,,,,,,,,,,,,,,,,
